figure_panel,tissue_dataset,regulator,heme_gene,spearman_R,p_value,data_source
Figure_4B,KICH_Normal,BRD2,UROD,-0.32,0.11,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,KICH_Normal,BRD2,UROS,-0.33,0.1,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,KICH_Normal,BRD4,ALAD,-0.38,0.064,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,KICH_Normal,BRD4,ALAS1,0.28,0.18,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,KICH_Normal,BRD4,CPOX,0.31,0.13,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,KICH_Normal,BRD4,FECH,0.063,0.76,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,KICH_Normal,BRD4,HMBS,-0.24,0.26,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,KICH_Normal,BRD4,PPOX,0.021,0.92,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,KICH_Normal,BRD4,UROD,-0.38,0.058,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,KICH_Normal,BRD4,UROS,-0.55,0.0047,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,KICH_Normal,H2AFZ,ALAD,-0.59,0.0023,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,KICH_Normal,H2AFZ,ALAS1,-0.27,0.2,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,KICH_Normal,H2AFZ,CPOX,-0.088,0.67,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,KICH_Normal,H2AFZ,FECH,0.17,0.41,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,KICH_Normal,H2AFZ,HMBS,0.62,0.0011,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,KICH_Normal,H2AFZ,PPOX,0.57,0.0032,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,KICH_Normal,H2AFZ,UROD,0.5,0.01,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,KICH_Normal,H2AFZ,UROS,0.48,0.015,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,KIRC_Normal,ATAD2,ALAD,-0.39,0.00075,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,KIRC_Normal,ATAD2,ALAS1,0.33,0.0046,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,KIRC_Normal,ATAD2,CPOX,0.74,7.5e-14,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,KIRC_Normal,ATAD2,FECH,-0.0042,0.97,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,KIRC_Normal,ATAD2,HMBS,0.47,3.6e-05,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,KIRC_Normal,ATAD2,PPOX,0.14,0.25,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,KIRC_Normal,ATAD2,UROD,0.22,0.069,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,KIRC_Normal,ATAD2,UROS,0.15,0.22,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,KIRC_Normal,BRD2,ALAD,-0.26,0.025,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,KIRC_Normal,BRD2,ALAS1,0.61,1.8e-08,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,KIRC_Normal,BRD2,CPOX,0.56,2.6e-07,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,KIRC_Normal,BRD2,FECH,0.28,0.016,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,KIRC_Normal,BRD2,HMBS,0.47,3.1e-05,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,KIRC_Normal,BRD2,PPOX,0.37,0.0015,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,KIRC_Normal,BRD2,UROD,0.15,0.2,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,KIRC_Normal,BRD2,UROS,0.17,0.15,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,KIRC_Normal,BRD4,ALAD,-0.13,0.26,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,KIRC_Normal,BRD4,ALAS1,0.58,1.6e-07,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,KIRC_Normal,BRD4,CPOX,0.48,2e-05,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,KIRC_Normal,BRD4,FECH,0.28,0.017,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,KIRC_Normal,BRD4,HMBS,0.34,0.0034,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,KIRC_Normal,BRD4,PPOX,0.35,0.0025,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,KIRC_Normal,BRD4,UROD,0.14,0.25,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,KIRC_Normal,BRD4,UROS,0.084,0.48,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,KIRC_Normal,H2AFZ,ALAD,-0.46,6.3e-05,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,KIRC_Normal,H2AFZ,ALAS1,0.35,0.0027,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,KIRC_Normal,H2AFZ,CPOX,0.47,3.1e-05,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,KIRC_Normal,H2AFZ,FECH,0.065,0.59,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,KIRC_Normal,H2AFZ,HMBS,0.79,1.5e-16,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,KIRC_Normal,H2AFZ,PPOX,0.42,0.00024,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,KIRC_Normal,H2AFZ,UROD,0.55,5.9e-07,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,KIRC_Normal,H2AFZ,UROS,0.49,1.6e-05,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,KIRP_Normal,ATAD2,ALAD,-0.51,0.0026,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,KIRP_Normal,ATAD2,ALAS1,0.53,0.0018,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,KIRP_Normal,ATAD2,CPOX,0.65,5.4e-05,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,KIRP_Normal,ATAD2,FECH,0.041,0.82,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,KIRP_Normal,ATAD2,HMBS,0.47,0.0065,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,KIRP_Normal,ATAD2,PPOX,0.62,0.00014,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,KIRP_Normal,ATAD2,UROD,0.29,0.11,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,KIRP_Normal,ATAD2,UROS,0.19,0.31,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,KIRP_Normal,BRD2,ALAD,-0.48,0.0062,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,KIRP_Normal,BRD2,ALAS1,0.6,0.00037,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,KIRP_Normal,BRD2,CPOX,0.53,0.0016,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,KIRP_Normal,BRD2,FECH,0.25,0.16,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,KIRP_Normal,BRD2,HMBS,0.42,0.018,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,KIRP_Normal,BRD2,PPOX,0.63,0.00011,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,KIRP_Normal,BRD2,UROD,0.34,0.055,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,KIRP_Normal,BRD2,UROS,0.28,0.12,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,KIRP_Normal,BRD4,ALAD,-0.18,0.31,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,KIRP_Normal,BRD4,ALAS1,0.55,0.0011,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,KIRP_Normal,BRD4,CPOX,0.35,0.048,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,KIRP_Normal,BRD4,FECH,0.27,0.13,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,KIRP_Normal,BRD4,HMBS,0.27,0.14,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,KIRP_Normal,BRD4,PPOX,0.47,0.0066,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,KIRP_Normal,BRD4,UROD,0.25,0.17,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,KIRP_Normal,BRD4,UROS,0.14,0.44,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,KIRP_Normal,H2AFZ,ALAD,-0.4,0.025,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,KIRP_Normal,H2AFZ,ALAS1,0.45,0.011,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,KIRP_Normal,H2AFZ,CPOX,0.57,0.00066,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,KIRP_Normal,H2AFZ,FECH,-0.058,0.75,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,KIRP_Normal,H2AFZ,HMBS,0.82,9.5e-09,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,KIRP_Normal,H2AFZ,PPOX,0.67,3.2e-05,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,KIRP_Normal,H2AFZ,UROD,0.74,3.1e-06,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,KIRP_Normal,H2AFZ,UROS,0.55,0.001,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,LIHC_Normal,ATAD2,ALAD,0.35,0.012,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,LIHC_Normal,ATAD2,ALAS1,0.078,0.59,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,LIHC_Normal,ATAD2,CPOX,0.55,3.6e-05,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,LIHC_Normal,ATAD2,FECH,0.57,1.9e-05,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,LIHC_Normal,ATAD2,HMBS,0.34,0.017,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,LIHC_Normal,ATAD2,PPOX,0.28,0.052,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,LIHC_Normal,ATAD2,UROD,0.37,0.009,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,LIHC_Normal,ATAD2,UROS,0.29,0.044,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,LIHC_Normal,BRD2,ALAD,0.031,0.83,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,LIHC_Normal,BRD2,ALAS1,0.051,0.72,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,LIHC_Normal,BRD2,CPOX,-0.032,0.83,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,LIHC_Normal,BRD2,FECH,0.096,0.51,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,LIHC_Normal,BRD2,HMBS,0.19,0.18,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,LIHC_Normal,BRD2,PPOX,0.26,0.072,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,LIHC_Normal,BRD2,UROD,0.11,0.46,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,LIHC_Normal,BRD2,UROS,-0.001,0.99,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,LIHC_Normal,BRD4,ALAD,0.36,0.011,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,LIHC_Normal,BRD4,ALAS1,0.0015,0.99,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,LIHC_Normal,BRD4,CPOX,0.17,0.25,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,LIHC_Normal,BRD4,FECH,0.32,0.024,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,LIHC_Normal,BRD4,HMBS,0.24,0.087,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,LIHC_Normal,BRD4,PPOX,0.15,0.3,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,LIHC_Normal,BRD4,UROD,0.066,0.65,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,LIHC_Normal,BRD4,UROS,0.037,0.8,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,LIHC_Normal,H2AFZ,ALAD,0.11,0.44,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,LIHC_Normal,H2AFZ,ALAS1,0.13,0.36,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,LIHC_Normal,H2AFZ,CPOX,0.28,0.045,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,LIHC_Normal,H2AFZ,FECH,0.29,0.039,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,LIHC_Normal,H2AFZ,HMBS,0.65,3.9e-07,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,LIHC_Normal,H2AFZ,PPOX,0.57,1.5e-05,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,LIHC_Normal,H2AFZ,UROD,0.66,2e-07,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,LIHC_Normal,H2AFZ,UROS,0.6,4.1e-06,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,LUAD_Normal,ATAD2,ALAD,0.41,0.0014,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,LUAD_Normal,ATAD2,ALAS1,-0.083,0.53,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,LUAD_Normal,ATAD2,CPOX,0.48,0.00011,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,LUAD_Normal,ATAD2,FECH,0.33,0.011,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,LUAD_Normal,ATAD2,HMBS,-0.41,0.0011,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,LUAD_Normal,ATAD2,PPOX,0.081,0.54,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,LUAD_Normal,ATAD2,UROD,-0.32,0.015,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,LUAD_Normal,ATAD2,UROS,-0.23,0.074,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,LUAD_Normal,BRD2,ALAD,0.46,0.00029,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,LUAD_Normal,BRD2,ALAS1,0.15,0.27,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,LUAD_Normal,BRD2,CPOX,0.44,0.00057,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,LUAD_Normal,BRD2,FECH,0.15,0.25,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,LUAD_Normal,BRD2,HMBS,-0.4,0.0017,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,LUAD_Normal,BRD2,PPOX,0.3,0.02,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,LUAD_Normal,BRD2,UROD,-0.36,0.0055,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,LUAD_Normal,BRD2,UROS,-0.23,0.078,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,LUAD_Normal,BRD4,ALAD,0.6,4.2e-07,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,LUAD_Normal,BRD4,ALAS1,0.015,0.91,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,LUAD_Normal,BRD4,CPOX,0.42,8e-04,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,LUAD_Normal,BRD4,FECH,0.35,0.0068,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,LUAD_Normal,BRD4,HMBS,-0.45,0.00034,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,LUAD_Normal,BRD4,PPOX,0.17,0.21,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,LUAD_Normal,BRD4,UROD,-0.39,0.0023,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,LUAD_Normal,BRD4,UROS,-0.27,0.038,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,LUAD_Normal,H2AFZ,ALAD,-0.31,0.017,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,LUAD_Normal,H2AFZ,ALAS1,0.15,0.25,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,LUAD_Normal,H2AFZ,CPOX,-0.29,0.026,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,LUAD_Normal,H2AFZ,FECH,-0.12,0.38,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,LUAD_Normal,H2AFZ,HMBS,0.19,0.14,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,LUAD_Normal,H2AFZ,PPOX,-0.19,0.16,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,LUAD_Normal,H2AFZ,UROD,0.37,0.0041,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,LUAD_Normal,H2AFZ,UROS,0.31,0.019,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,LUSC_Normal,ATAD2,ALAD,0.59,1.2e-05,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,LUSC_Normal,ATAD2,ALAS1,0.26,0.073,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,LUSC_Normal,ATAD2,CPOX,0.64,6e-07,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,LUSC_Normal,ATAD2,FECH,0.59,5.5e-06,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,LUSC_Normal,ATAD2,HMBS,0.039,0.79,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,LUSC_Normal,ATAD2,PPOX,0.24,0.089,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,LUSC_Normal,ATAD2,UROD,0.13,0.36,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,LUSC_Normal,ATAD2,UROS,0.091,0.53,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,LUSC_Normal,BRD2,ALAD,0.43,0.002,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,LUSC_Normal,BRD2,ALAS1,0.43,0.002,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,LUSC_Normal,BRD2,CPOX,0.11,0.47,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,LUSC_Normal,BRD2,FECH,0.21,0.14,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,LUSC_Normal,BRD2,HMBS,-0.35,0.013,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,LUSC_Normal,BRD2,PPOX,0.09,0.53,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,LUSC_Normal,BRD2,UROD,-0.39,0.006,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,LUSC_Normal,BRD2,UROS,-0.34,0.017,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,LUSC_Normal,BRD4,ALAD,0.55,3.8e-05,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,LUSC_Normal,BRD4,ALAS1,0.5,0.00021,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,LUSC_Normal,BRD4,CPOX,0.034,0.82,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,LUSC_Normal,BRD4,FECH,0.25,0.082,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,LUSC_Normal,BRD4,HMBS,-0.28,0.048,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,LUSC_Normal,BRD4,PPOX,0.018,0.9,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,LUSC_Normal,BRD4,UROD,-0.41,0.0033,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,LUSC_Normal,BRD4,UROS,-0.37,0.0077,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,LUSC_Normal,H2AFZ,ALAD,0.14,0.34,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,LUSC_Normal,H2AFZ,ALAS1,0.031,0.83,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,LUSC_Normal,H2AFZ,CPOX,0.25,0.077,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,LUSC_Normal,H2AFZ,FECH,0.21,0.14,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,LUSC_Normal,H2AFZ,HMBS,0.32,0.022,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,LUSC_Normal,H2AFZ,PPOX,0.22,0.13,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,LUSC_Normal,H2AFZ,UROD,0.69,4e-08,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,LUSC_Normal,H2AFZ,UROS,0.53,8.8e-05,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,PAAD_Normal,ATAD2,ALAD,-0.2,0.92,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,PAAD_Normal,ATAD2,ALAS1,-1.0,0.083,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,PAAD_Normal,ATAD2,CPOX,-1.0,0.083,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,PAAD_Normal,ATAD2,FECH,-0.2,0.92,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,PAAD_Normal,ATAD2,HMBS,-0.4,0.75,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,PAAD_Normal,ATAD2,PPOX,0.8,0.33,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,PAAD_Normal,ATAD2,UROD,-1.0,0.083,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,PAAD_Normal,ATAD2,UROS,-0.2,0.92,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,PAAD_Normal,BRD2,ALAD,-0.4,0.75,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,PAAD_Normal,BRD2,ALAS1,-0.8,0.33,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,PAAD_Normal,BRD2,CPOX,-0.8,0.33,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,PAAD_Normal,BRD2,FECH,-0.4,0.75,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,PAAD_Normal,BRD2,HMBS,-0.2,0.92,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,PAAD_Normal,BRD2,PPOX,1.0,0.083,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,PAAD_Normal,BRD2,UROD,-0.8,0.33,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,PAAD_Normal,BRD2,UROS,-0.4,0.75,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,PAAD_Normal,BRD4,ALAD,-0.8,0.33,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,PAAD_Normal,BRD4,ALAS1,-0.4,0.75,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,PAAD_Normal,BRD4,CPOX,-0.4,0.75,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,PAAD_Normal,BRD4,FECH,-0.8,0.33,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,PAAD_Normal,BRD4,HMBS,-1.0,0.083,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,PAAD_Normal,BRD4,PPOX,0.2,0.92,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,PAAD_Normal,BRD4,UROD,-0.4,0.75,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,PAAD_Normal,BRD4,UROS,-0.8,0.33,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,PAAD_Normal,H2AFZ,ALAD,0.2,0.92,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,PAAD_Normal,H2AFZ,ALAS1,1.0,0.083,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,PAAD_Normal,H2AFZ,CPOX,1.0,0.083,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,PAAD_Normal,H2AFZ,FECH,0.2,0.92,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,PAAD_Normal,H2AFZ,HMBS,0.4,0.75,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,PAAD_Normal,H2AFZ,PPOX,-0.8,0.33,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,PAAD_Normal,H2AFZ,UROD,1.0,0.083,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,PAAD_Normal,H2AFZ,UROS,0.2,0.92,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,PCPG_Normal,ATAD2,ALAD,0.5,1,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,PCPG_Normal,ATAD2,ALAS1,0.5,1,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,PCPG_Normal,ATAD2,CPOX,1.0,0.33,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,PCPG_Normal,ATAD2,FECH,1.0,0.33,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,PCPG_Normal,ATAD2,HMBS,-0.5,1,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,PCPG_Normal,ATAD2,PPOX,0.5,1,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,PCPG_Normal,ATAD2,UROD,0.5,1,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,PCPG_Normal,ATAD2,UROS,-0.5,1,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,PCPG_Normal,BRD2,ALAD,-0.5,1,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,PCPG_Normal,BRD2,ALAS1,1.0,0.33,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,PCPG_Normal,BRD2,CPOX,0.5,1,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,PCPG_Normal,BRD2,FECH,0.5,1,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,PCPG_Normal,BRD2,HMBS,0.5,1,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,PCPG_Normal,BRD2,PPOX,-0.5,1,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,PCPG_Normal,BRD2,UROD,1.0,0.33,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,PCPG_Normal,BRD2,UROS,0.5,1,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,PCPG_Normal,BRD4,ALAD,0.5,1,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,PCPG_Normal,BRD4,ALAS1,0.5,1,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,PCPG_Normal,BRD4,CPOX,1.0,0.33,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,PCPG_Normal,BRD4,FECH,1.0,0.33,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,PCPG_Normal,BRD4,HMBS,-0.5,1,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,PCPG_Normal,BRD4,PPOX,0.5,1,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,PCPG_Normal,BRD4,UROD,0.5,1,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,PCPG_Normal,BRD4,UROS,-0.5,1,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,PCPG_Normal,H2AFZ,ALAD,-0.5,1,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,PCPG_Normal,H2AFZ,ALAS1,1.0,0.33,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,PCPG_Normal,H2AFZ,CPOX,0.5,1,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,PCPG_Normal,H2AFZ,FECH,0.5,1,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,PCPG_Normal,H2AFZ,HMBS,0.5,1,GEPIA2 GTEx normal tissue RNA-seq
Figure_4B,PCPG_Normal,H2AFZ,PPOX,-0.5,1,GEPIA2 GTEx normal tissue RNA-seq
