"phase","analysis","gene1","gene2","dataset","R","p_value","status","path"
"ph1","chromatin_vs_heme","ATAD2","ALAD","Adipose_Subcutaneous",0.12,"0.027","ok","./gepia_pdfs/gepia_pdfs_ph1/ph1__chromatin_vs_heme__ATAD2_vs_ALAD__Adipose_Subcutaneous__spearman.pdf"
"ph1","chromatin_vs_heme","ATAD2","ALAD","BLCA_Normal",-0.15,"0.54","ok","./gepia_pdfs/gepia_pdfs_ph1/ph1__chromatin_vs_heme__ATAD2_vs_ALAD__BLCA_Normal__spearman.pdf"
"ph1","chromatin_vs_heme","ATAD2","ALAD","BRCA_Normal",-0.024,"0.8","ok","./gepia_pdfs/gepia_pdfs_ph1/ph1__chromatin_vs_heme__ATAD2_vs_ALAD__BRCA_Normal__spearman.pdf"
"ph1","chromatin_vs_heme","ATAD2","ALAD","CESC_Normal",-0.5,"1","ok","./gepia_pdfs/gepia_pdfs_ph1/ph1__chromatin_vs_heme__ATAD2_vs_ALAD__CESC_Normal__spearman.pdf"
"ph1","chromatin_vs_heme","ATAD2","ALAD","CHOL_Normal",0.042,"0.91","ok","./gepia_pdfs/gepia_pdfs_ph1/ph1__chromatin_vs_heme__ATAD2_vs_ALAD__CHOL_Normal__spearman.pdf"
"ph1","chromatin_vs_heme","ATAD2","ALAD","COAD_Normal",-0.16,"0.33","ok","./gepia_pdfs/gepia_pdfs_ph1/ph1__chromatin_vs_heme__ATAD2_vs_ALAD__COAD_Normal__spearman.pdf"
"ph1","chromatin_vs_heme","ATAD2","ALAD","ESCA_Normal",0.5,"0.085","ok","./gepia_pdfs/gepia_pdfs_ph1/ph1__chromatin_vs_heme__ATAD2_vs_ALAD__ESCA_Normal__spearman.pdf"
"ph1","chromatin_vs_heme","ATAD2","ALAD","HNSC_Normal",0.29,"0.057","ok","./gepia_pdfs/gepia_pdfs_ph1/ph1__chromatin_vs_heme__ATAD2_vs_ALAD__HNSC_Normal__spearman.pdf"
"ph1","chromatin_vs_heme","ATAD2","ALAD","KICH_Normal",-0.41,"0.04","ok","./gepia_pdfs/gepia_pdfs_ph1/ph1__chromatin_vs_heme__ATAD2_vs_ALAD__KICH_Normal__spearman.pdf"
"ph1","chromatin_vs_heme","ATAD2","ALAD","KIRC_Normal",-0.39,"0.00075","ok","./gepia_pdfs/gepia_pdfs_ph1/ph1__chromatin_vs_heme__ATAD2_vs_ALAD__KIRC_Normal__spearman.pdf"
"ph1","chromatin_vs_heme","ATAD2","ALAD","KIRP_Normal",-0.51,"0.0026","ok","./gepia_pdfs/gepia_pdfs_ph1/ph1__chromatin_vs_heme__ATAD2_vs_ALAD__KIRP_Normal__spearman.pdf"
