"phase","analysis","gene1","gene2","dataset","R","p_value","status","path"
"ph1","chromatin_vs_heme","ATAD2","ALAD","LIHC_Normal",0.35,"0.012","ok","./gepia_pdfs/gepia_pdfs_ph1/ph1__chromatin_vs_heme__ATAD2_vs_ALAD__LIHC_Normal__spearman.pdf"
"ph1","chromatin_vs_heme","ATAD2","ALAD","LUAD_Normal",0.41,"0.0014","ok","./gepia_pdfs/gepia_pdfs_ph1/ph1__chromatin_vs_heme__ATAD2_vs_ALAD__LUAD_Normal__spearman.pdf"
"ph1","chromatin_vs_heme","ATAD2","ALAD","LUSC_Normal",0.59,"1.2e-05","ok","./gepia_pdfs/gepia_pdfs_ph1/ph1__chromatin_vs_heme__ATAD2_vs_ALAD__LUSC_Normal__spearman.pdf"
"ph1","chromatin_vs_heme","ATAD2","ALAD","PAAD_Normal",-0.2,"0.92","ok","./gepia_pdfs/gepia_pdfs_ph1/ph1__chromatin_vs_heme__ATAD2_vs_ALAD__PAAD_Normal__spearman.pdf"
"ph1","chromatin_vs_heme","ATAD2","ALAD","PCPG_Normal",0.5,"1","ok","./gepia_pdfs/gepia_pdfs_ph1/ph1__chromatin_vs_heme__ATAD2_vs_ALAD__PCPG_Normal__spearman.pdf"
"ph1","chromatin_vs_heme","ATAD2","ALAD","PRAD_Normal",0.5,"0.00019","ok","./gepia_pdfs/gepia_pdfs_ph1/ph1__chromatin_vs_heme__ATAD2_vs_ALAD__PRAD_Normal__spearman.pdf"
"ph1","chromatin_vs_heme","ATAD2","ALAD","READ_Normal",-0.018,"0.97","ok","./gepia_pdfs/gepia_pdfs_ph1/ph1__chromatin_vs_heme__ATAD2_vs_ALAD__READ_Normal__spearman.pdf"
"ph1","chromatin_vs_heme","ATAD2","ALAD","SARC_Normal",-1,"1","ok","./gepia_pdfs/gepia_pdfs_ph1/ph1__chromatin_vs_heme__ATAD2_vs_ALAD__SARC_Normal__spearman.pdf"
"ph1","chromatin_vs_heme","ATAD2","ALAD","SKCM_Normal",NA,NA,"extraction_failed","./gepia_pdfs/gepia_pdfs_ph1/ph1__chromatin_vs_heme__ATAD2_vs_ALAD__SKCM_Normal__spearman.pdf"
"ph1","chromatin_vs_heme","ATAD2","ALAD","STAD_Normal",0.54,"0.00076","ok","./gepia_pdfs/gepia_pdfs_ph1/ph1__chromatin_vs_heme__ATAD2_vs_ALAD__STAD_Normal__spearman.pdf"
"ph1","chromatin_vs_heme","ATAD2","ALAD","THCA_Normal",0.24,"0.068","ok","./gepia_pdfs/gepia_pdfs_ph1/ph1__chromatin_vs_heme__ATAD2_vs_ALAD__THCA_Normal__spearman.pdf"
"ph1","chromatin_vs_heme","ATAD2","ALAD","THYM_Normal",-1,"1","ok","./gepia_pdfs/gepia_pdfs_ph1/ph1__chromatin_vs_heme__ATAD2_vs_ALAD__THYM_Normal__spearman.pdf"
"ph1","chromatin_vs_heme","ATAD2","ALAD","UCEC_Normal",0.71,"0.0081","ok","./gepia_pdfs/gepia_pdfs_ph1/ph1__chromatin_vs_heme__ATAD2_vs_ALAD__UCEC_Normal__spearman.pdf"
"ph1","chromatin_vs_heme","ATAD2","ALAS1","Adipose_Subcutaneous",-0.19,"0.00087","ok","./gepia_pdfs/gepia_pdfs_ph1/ph1__chromatin_vs_heme__ATAD2_vs_ALAS1__Adipose_Subcutaneous__spearman.pdf"
"ph1","chromatin_vs_heme","ATAD2","ALAS1","BLCA_Normal",0.23,"0.35","ok","./gepia_pdfs/gepia_pdfs_ph1/ph1__chromatin_vs_heme__ATAD2_vs_ALAS1__BLCA_Normal__spearman.pdf"
"ph1","chromatin_vs_heme","ATAD2","ALAS1","BRCA_Normal",-0.28,"0.0024","ok","./gepia_pdfs/gepia_pdfs_ph1/ph1__chromatin_vs_heme__ATAD2_vs_ALAS1__BRCA_Normal__spearman.pdf"
"ph1","chromatin_vs_heme","ATAD2","ALAS1","CESC_Normal",-0.5,"1","ok","./gepia_pdfs/gepia_pdfs_ph1/ph1__chromatin_vs_heme__ATAD2_vs_ALAS1__CESC_Normal__spearman.pdf"
"ph1","chromatin_vs_heme","ATAD2","ALAS1","CHOL_Normal",-0.075,"0.85","ok","./gepia_pdfs/gepia_pdfs_ph1/ph1__chromatin_vs_heme__ATAD2_vs_ALAS1__CHOL_Normal__spearman.pdf"
"ph1","chromatin_vs_heme","ATAD2","ALAS1","COAD_Normal",0.12,"0.45","ok","./gepia_pdfs/gepia_pdfs_ph1/ph1__chromatin_vs_heme__ATAD2_vs_ALAS1__COAD_Normal__spearman.pdf"
"ph1","chromatin_vs_heme","ATAD2","ALAS1","ESCA_Normal",0.7,"0.01","ok","./gepia_pdfs/gepia_pdfs_ph1/ph1__chromatin_vs_heme__ATAD2_vs_ALAS1__ESCA_Normal__spearman.pdf"
"ph1","chromatin_vs_heme","ATAD2","ALAS1","HNSC_Normal",0.24,"0.12","ok","./gepia_pdfs/gepia_pdfs_ph1/ph1__chromatin_vs_heme__ATAD2_vs_ALAS1__HNSC_Normal__spearman.pdf"
"ph1","chromatin_vs_heme","ATAD2","ALAS1","KICH_Normal",-0.18,"0.39","ok","./gepia_pdfs/gepia_pdfs_ph1/ph1__chromatin_vs_heme__ATAD2_vs_ALAS1__KICH_Normal__spearman.pdf"
"ph1","chromatin_vs_heme","ATAD2","ALAS1","KIRC_Normal",0.33,"0.0046","ok","./gepia_pdfs/gepia_pdfs_ph1/ph1__chromatin_vs_heme__ATAD2_vs_ALAS1__KIRC_Normal__spearman.pdf"
"ph1","chromatin_vs_heme","ATAD2","ALAS1","KIRP_Normal",0.53,"0.0018","ok","./gepia_pdfs/gepia_pdfs_ph1/ph1__chromatin_vs_heme__ATAD2_vs_ALAS1__KIRP_Normal__spearman.pdf"
"ph1","chromatin_vs_heme","ATAD2","ALAS1","LIHC_Normal",0.078,"0.59","ok","./gepia_pdfs/gepia_pdfs_ph1/ph1__chromatin_vs_heme__ATAD2_vs_ALAS1__LIHC_Normal__spearman.pdf"
"ph1","chromatin_vs_heme","ATAD2","ALAS1","LUAD_Normal",-0.083,"0.53","ok","./gepia_pdfs/gepia_pdfs_ph1/ph1__chromatin_vs_heme__ATAD2_vs_ALAS1__LUAD_Normal__spearman.pdf"
"ph1","chromatin_vs_heme","ATAD2","ALAS1","LUSC_Normal",0.26,"0.073","ok","./gepia_pdfs/gepia_pdfs_ph1/ph1__chromatin_vs_heme__ATAD2_vs_ALAS1__LUSC_Normal__spearman.pdf"
"ph1","chromatin_vs_heme","ATAD2","ALAS1","PAAD_Normal",-1,"0.083","ok","./gepia_pdfs/gepia_pdfs_ph1/ph1__chromatin_vs_heme__ATAD2_vs_ALAS1__PAAD_Normal__spearman.pdf"
"ph1","chromatin_vs_heme","ATAD2","ALAS1","PCPG_Normal",0.5,"1","ok","./gepia_pdfs/gepia_pdfs_ph1/ph1__chromatin_vs_heme__ATAD2_vs_ALAS1__PCPG_Normal__spearman.pdf"
"ph1","chromatin_vs_heme","ATAD2","ALAS1","PRAD_Normal",-0.11,"0.46","ok","./gepia_pdfs/gepia_pdfs_ph1/ph1__chromatin_vs_heme__ATAD2_vs_ALAS1__PRAD_Normal__spearman.pdf"
"ph1","chromatin_vs_heme","ATAD2","ALAS1","READ_Normal",0.9,"0.00088","ok","./gepia_pdfs/gepia_pdfs_ph1/ph1__chromatin_vs_heme__ATAD2_vs_ALAS1__READ_Normal__spearman.pdf"
"ph1","chromatin_vs_heme","ATAD2","ALAS1","SARC_Normal",-1,"1","ok","./gepia_pdfs/gepia_pdfs_ph1/ph1__chromatin_vs_heme__ATAD2_vs_ALAS1__SARC_Normal__spearman.pdf"
"ph1","chromatin_vs_heme","ATAD2","ALAS1","SKCM_Normal",NA,NA,"extraction_failed","./gepia_pdfs/gepia_pdfs_ph1/ph1__chromatin_vs_heme__ATAD2_vs_ALAS1__SKCM_Normal__spearman.pdf"
"ph1","chromatin_vs_heme","ATAD2","ALAS1","STAD_Normal",0.2,"0.24","ok","./gepia_pdfs/gepia_pdfs_ph1/ph1__chromatin_vs_heme__ATAD2_vs_ALAS1__STAD_Normal__spearman.pdf"
"ph1","chromatin_vs_heme","ATAD2","ALAS1","THCA_Normal",0.072,"0.59","ok","./gepia_pdfs/gepia_pdfs_ph1/ph1__chromatin_vs_heme__ATAD2_vs_ALAS1__THCA_Normal__spearman.pdf"
"ph1","chromatin_vs_heme","ATAD2","ALAS1","THYM_Normal",-1,"1","ok","./gepia_pdfs/gepia_pdfs_ph1/ph1__chromatin_vs_heme__ATAD2_vs_ALAS1__THYM_Normal__spearman.pdf"
"ph1","chromatin_vs_heme","ATAD2","ALAS1","UCEC_Normal",-0.049,"0.88","ok","./gepia_pdfs/gepia_pdfs_ph1/ph1__chromatin_vs_heme__ATAD2_vs_ALAS1__UCEC_Normal__spearman.pdf"
"ph1","chromatin_vs_heme","ATAD2","CPOX","Adipose_Subcutaneous",0.38,"1.8e-12","ok","./gepia_pdfs/gepia_pdfs_ph1/ph1__chromatin_vs_heme__ATAD2_vs_CPOX__Adipose_Subcutaneous__spearman.pdf"
"ph1","chromatin_vs_heme","ATAD2","CPOX","BLCA_Normal",0.6,"0.0077","ok","./gepia_pdfs/gepia_pdfs_ph1/ph1__chromatin_vs_heme__ATAD2_vs_CPOX__BLCA_Normal__spearman.pdf"
"ph1","chromatin_vs_heme","ATAD2","CPOX","BRCA_Normal",0.63,"9.7e-14","ok","./gepia_pdfs/gepia_pdfs_ph1/ph1__chromatin_vs_heme__ATAD2_vs_CPOX__BRCA_Normal__spearman.pdf"
"ph1","chromatin_vs_heme","ATAD2","CPOX","CESC_Normal",-0.5,"1","ok","./gepia_pdfs/gepia_pdfs_ph1/ph1__chromatin_vs_heme__ATAD2_vs_CPOX__CESC_Normal__spearman.pdf"
"ph1","chromatin_vs_heme","ATAD2","CPOX","CHOL_Normal",-0.11,"0.78","ok","./gepia_pdfs/gepia_pdfs_ph1/ph1__chromatin_vs_heme__ATAD2_vs_CPOX__CHOL_Normal__spearman.pdf"
"ph1","chromatin_vs_heme","ATAD2","CPOX","COAD_Normal",0.52,"0.00047","ok","./gepia_pdfs/gepia_pdfs_ph1/ph1__chromatin_vs_heme__ATAD2_vs_CPOX__COAD_Normal__spearman.pdf"
"ph1","chromatin_vs_heme","ATAD2","CPOX","ESCA_Normal",0.44,"0.14","ok","./gepia_pdfs/gepia_pdfs_ph1/ph1__chromatin_vs_heme__ATAD2_vs_CPOX__ESCA_Normal__spearman.pdf"
"ph1","chromatin_vs_heme","ATAD2","CPOX","HNSC_Normal",0.82,"0","ok","./gepia_pdfs/gepia_pdfs_ph1/ph1__chromatin_vs_heme__ATAD2_vs_CPOX__HNSC_Normal__spearman.pdf"
"ph1","chromatin_vs_heme","ATAD2","CPOX","KICH_Normal",0.51,"0.0091","ok","./gepia_pdfs/gepia_pdfs_ph1/ph1__chromatin_vs_heme__ATAD2_vs_CPOX__KICH_Normal__spearman.pdf"
"ph1","chromatin_vs_heme","ATAD2","CPOX","KIRC_Normal",0.74,"7.5e-14","ok","./gepia_pdfs/gepia_pdfs_ph1/ph1__chromatin_vs_heme__ATAD2_vs_CPOX__KIRC_Normal__spearman.pdf"
"ph1","chromatin_vs_heme","ATAD2","CPOX","KIRP_Normal",0.65,"5.4e-05","ok","./gepia_pdfs/gepia_pdfs_ph1/ph1__chromatin_vs_heme__ATAD2_vs_CPOX__KIRP_Normal__spearman.pdf"
"ph1","chromatin_vs_heme","ATAD2","CPOX","LIHC_Normal",0.55,"3.6e-05","ok","./gepia_pdfs/gepia_pdfs_ph1/ph1__chromatin_vs_heme__ATAD2_vs_CPOX__LIHC_Normal__spearman.pdf"
"ph1","chromatin_vs_heme","ATAD2","CPOX","LUAD_Normal",0.48,"0.00011","ok","./gepia_pdfs/gepia_pdfs_ph1/ph1__chromatin_vs_heme__ATAD2_vs_CPOX__LUAD_Normal__spearman.pdf"
"ph1","chromatin_vs_heme","ATAD2","CPOX","LUSC_Normal",0.64,"6e-07","ok","./gepia_pdfs/gepia_pdfs_ph1/ph1__chromatin_vs_heme__ATAD2_vs_CPOX__LUSC_Normal__spearman.pdf"
"ph1","chromatin_vs_heme","ATAD2","CPOX","PAAD_Normal",-1,"0.083","ok","./gepia_pdfs/gepia_pdfs_ph1/ph1__chromatin_vs_heme__ATAD2_vs_CPOX__PAAD_Normal__spearman.pdf"
"ph1","chromatin_vs_heme","ATAD2","CPOX","PCPG_Normal",1,"0.33","ok","./gepia_pdfs/gepia_pdfs_ph1/ph1__chromatin_vs_heme__ATAD2_vs_CPOX__PCPG_Normal__spearman.pdf"
"ph1","chromatin_vs_heme","ATAD2","CPOX","PRAD_Normal",0.63,"5.3e-07","ok","./gepia_pdfs/gepia_pdfs_ph1/ph1__chromatin_vs_heme__ATAD2_vs_CPOX__PRAD_Normal__spearman.pdf"
"ph1","chromatin_vs_heme","ATAD2","CPOX","READ_Normal",0.43,"0.22","ok","./gepia_pdfs/gepia_pdfs_ph1/ph1__chromatin_vs_heme__ATAD2_vs_CPOX__READ_Normal__spearman.pdf"
"ph1","chromatin_vs_heme","ATAD2","CPOX","SARC_Normal",-1,"1","ok","./gepia_pdfs/gepia_pdfs_ph1/ph1__chromatin_vs_heme__ATAD2_vs_CPOX__SARC_Normal__spearman.pdf"
"ph1","chromatin_vs_heme","ATAD2","CPOX","SKCM_Normal",NA,NA,"extraction_failed","./gepia_pdfs/gepia_pdfs_ph1/ph1__chromatin_vs_heme__ATAD2_vs_CPOX__SKCM_Normal__spearman.pdf"
"ph1","chromatin_vs_heme","ATAD2","CPOX","STAD_Normal",0.74,"3.2e-07","ok","./gepia_pdfs/gepia_pdfs_ph1/ph1__chromatin_vs_heme__ATAD2_vs_CPOX__STAD_Normal__spearman.pdf"
"ph1","chromatin_vs_heme","ATAD2","CPOX","THCA_Normal",0.62,"1.3e-07","ok","./gepia_pdfs/gepia_pdfs_ph1/ph1__chromatin_vs_heme__ATAD2_vs_CPOX__THCA_Normal__spearman.pdf"
"ph1","chromatin_vs_heme","ATAD2","CPOX","THYM_Normal",1,"1","ok","./gepia_pdfs/gepia_pdfs_ph1/ph1__chromatin_vs_heme__ATAD2_vs_CPOX__THYM_Normal__spearman.pdf"
"ph1","chromatin_vs_heme","ATAD2","CPOX","UCEC_Normal",0.9,"0","ok","./gepia_pdfs/gepia_pdfs_ph1/ph1__chromatin_vs_heme__ATAD2_vs_CPOX__UCEC_Normal__spearman.pdf"
"ph1","chromatin_vs_heme","ATAD2","FECH","BLCA_Normal",0.0035,"0.99","ok","./gepia_pdfs/gepia_pdfs_ph1/ph1__chromatin_vs_heme__ATAD2_vs_FECH__BLCA_Normal__spearman.pdf"
"ph1","chromatin_vs_heme","ATAD2","FECH","BRCA_Normal",0.63,"1.3e-13","ok","./gepia_pdfs/gepia_pdfs_ph1/ph1__chromatin_vs_heme__ATAD2_vs_FECH__BRCA_Normal__spearman.pdf"
"ph1","chromatin_vs_heme","ATAD2","FECH","CESC_Normal",-0.5,"1","ok","./gepia_pdfs/gepia_pdfs_ph1/ph1__chromatin_vs_heme__ATAD2_vs_FECH__CESC_Normal__spearman.pdf"
"ph1","chromatin_vs_heme","ATAD2","FECH","CHOL_Normal",0.025,"0.95","ok","./gepia_pdfs/gepia_pdfs_ph1/ph1__chromatin_vs_heme__ATAD2_vs_FECH__CHOL_Normal__spearman.pdf"
"ph1","chromatin_vs_heme","ATAD2","FECH","COAD_Normal",0.01,"0.95","ok","./gepia_pdfs/gepia_pdfs_ph1/ph1__chromatin_vs_heme__ATAD2_vs_FECH__COAD_Normal__spearman.pdf"
"ph1","chromatin_vs_heme","ATAD2","FECH","ESCA_Normal",0.34,"0.25","ok","./gepia_pdfs/gepia_pdfs_ph1/ph1__chromatin_vs_heme__ATAD2_vs_FECH__ESCA_Normal__spearman.pdf"
"ph1","chromatin_vs_heme","ATAD2","FECH","HNSC_Normal",0.23,"0.13","ok","./gepia_pdfs/gepia_pdfs_ph1/ph1__chromatin_vs_heme__ATAD2_vs_FECH__HNSC_Normal__spearman.pdf"
"ph1","chromatin_vs_heme","ATAD2","FECH","KICH_Normal",0.18,"0.38","ok","./gepia_pdfs/gepia_pdfs_ph1/ph1__chromatin_vs_heme__ATAD2_vs_FECH__KICH_Normal__spearman.pdf"
"ph1","chromatin_vs_heme","ATAD2","FECH","KIRC_Normal",-0.0042,"0.97","ok","./gepia_pdfs/gepia_pdfs_ph1/ph1__chromatin_vs_heme__ATAD2_vs_FECH__KIRC_Normal__spearman.pdf"
"ph1","chromatin_vs_heme","ATAD2","FECH","KIRP_Normal",0.041,"0.82","ok","./gepia_pdfs/gepia_pdfs_ph1/ph1__chromatin_vs_heme__ATAD2_vs_FECH__KIRP_Normal__spearman.pdf"
"ph1","chromatin_vs_heme","ATAD2","FECH","LIHC_Normal",0.57,"1.9e-05","ok","./gepia_pdfs/gepia_pdfs_ph1/ph1__chromatin_vs_heme__ATAD2_vs_FECH__LIHC_Normal__spearman.pdf"
"ph1","chromatin_vs_heme","ATAD2","FECH","LUAD_Normal",0.33,"0.011","ok","./gepia_pdfs/gepia_pdfs_ph1/ph1__chromatin_vs_heme__ATAD2_vs_FECH__LUAD_Normal__spearman.pdf"
"ph1","chromatin_vs_heme","ATAD2","FECH","LUSC_Normal",0.59,"5.5e-06","ok","./gepia_pdfs/gepia_pdfs_ph1/ph1__chromatin_vs_heme__ATAD2_vs_FECH__LUSC_Normal__spearman.pdf"
"ph1","chromatin_vs_heme","ATAD2","FECH","PAAD_Normal",-0.2,"0.92","ok","./gepia_pdfs/gepia_pdfs_ph1/ph1__chromatin_vs_heme__ATAD2_vs_FECH__PAAD_Normal__spearman.pdf"
"ph1","chromatin_vs_heme","ATAD2","FECH","PCPG_Normal",1,"0.33","ok","./gepia_pdfs/gepia_pdfs_ph1/ph1__chromatin_vs_heme__ATAD2_vs_FECH__PCPG_Normal__spearman.pdf"
"ph1","chromatin_vs_heme","ATAD2","FECH","PRAD_Normal",0.54,"3.1e-05","ok","./gepia_pdfs/gepia_pdfs_ph1/ph1__chromatin_vs_heme__ATAD2_vs_FECH__PRAD_Normal__spearman.pdf"
"ph1","chromatin_vs_heme","ATAD2","FECH","READ_Normal",-0.15,"0.68","ok","./gepia_pdfs/gepia_pdfs_ph1/ph1__chromatin_vs_heme__ATAD2_vs_FECH__READ_Normal__spearman.pdf"
"ph1","chromatin_vs_heme","ATAD2","FECH","SARC_Normal",-1,"1","ok","./gepia_pdfs/gepia_pdfs_ph1/ph1__chromatin_vs_heme__ATAD2_vs_FECH__SARC_Normal__spearman.pdf"
"ph1","chromatin_vs_heme","ATAD2","FECH","SKCM_Normal",NA,NA,"extraction_failed","./gepia_pdfs/gepia_pdfs_ph1/ph1__chromatin_vs_heme__ATAD2_vs_FECH__SKCM_Normal__spearman.pdf"
"ph1","chromatin_vs_heme","ATAD2","FECH","STAD_Normal",0.62,"7.8e-05","ok","./gepia_pdfs/gepia_pdfs_ph1/ph1__chromatin_vs_heme__ATAD2_vs_FECH__STAD_Normal__spearman.pdf"
"ph1","chromatin_vs_heme","ATAD2","FECH","THCA_Normal",0.4,"0.0015","ok","./gepia_pdfs/gepia_pdfs_ph1/ph1__chromatin_vs_heme__ATAD2_vs_FECH__THCA_Normal__spearman.pdf"
"ph1","chromatin_vs_heme","ATAD2","FECH","THYM_Normal",1,"1","ok","./gepia_pdfs/gepia_pdfs_ph1/ph1__chromatin_vs_heme__ATAD2_vs_FECH__THYM_Normal__spearman.pdf"
"ph1","chromatin_vs_heme","ATAD2","FECH","UCEC_Normal",0.5,"0.085","ok","./gepia_pdfs/gepia_pdfs_ph1/ph1__chromatin_vs_heme__ATAD2_vs_FECH__UCEC_Normal__spearman.pdf"
"ph1","chromatin_vs_heme","ATAD2","HMBS","Adipose_Subcutaneous",-0.26,"3.7e-06","ok","./gepia_pdfs/gepia_pdfs_ph1/ph1__chromatin_vs_heme__ATAD2_vs_HMBS__Adipose_Subcutaneous__spearman.pdf"
"ph1","chromatin_vs_heme","ATAD2","HMBS","BLCA_Normal",0.64,"0.003","ok","./gepia_pdfs/gepia_pdfs_ph1/ph1__chromatin_vs_heme__ATAD2_vs_HMBS__BLCA_Normal__spearman.pdf"
"ph1","chromatin_vs_heme","ATAD2","HMBS","BRCA_Normal",0.15,"0.11","ok","./gepia_pdfs/gepia_pdfs_ph1/ph1__chromatin_vs_heme__ATAD2_vs_HMBS__BRCA_Normal__spearman.pdf"
"ph1","chromatin_vs_heme","ATAD2","HMBS","CESC_Normal",-0.5,"1","ok","./gepia_pdfs/gepia_pdfs_ph1/ph1__chromatin_vs_heme__ATAD2_vs_HMBS__CESC_Normal__spearman.pdf"
"ph1","chromatin_vs_heme","ATAD2","HMBS","CHOL_Normal",-0.43,"0.25","ok","./gepia_pdfs/gepia_pdfs_ph1/ph1__chromatin_vs_heme__ATAD2_vs_HMBS__CHOL_Normal__spearman.pdf"
"ph1","chromatin_vs_heme","ATAD2","HMBS","COAD_Normal",0.63,"1.2e-05","ok","./gepia_pdfs/gepia_pdfs_ph1/ph1__chromatin_vs_heme__ATAD2_vs_HMBS__COAD_Normal__spearman.pdf"
"ph1","chromatin_vs_heme","ATAD2","HMBS","ESCA_Normal",0.59,"0.036","ok","./gepia_pdfs/gepia_pdfs_ph1/ph1__chromatin_vs_heme__ATAD2_vs_HMBS__ESCA_Normal__spearman.pdf"
"ph1","chromatin_vs_heme","ATAD2","HMBS","HNSC_Normal",0.2,"0.2","ok","./gepia_pdfs/gepia_pdfs_ph1/ph1__chromatin_vs_heme__ATAD2_vs_HMBS__HNSC_Normal__spearman.pdf"
"ph1","chromatin_vs_heme","ATAD2","HMBS","KICH_Normal",0.14,"0.49","ok","./gepia_pdfs/gepia_pdfs_ph1/ph1__chromatin_vs_heme__ATAD2_vs_HMBS__KICH_Normal__spearman.pdf"
"ph1","chromatin_vs_heme","ATAD2","HMBS","KIRC_Normal",0.47,"3.6e-05","ok","./gepia_pdfs/gepia_pdfs_ph1/ph1__chromatin_vs_heme__ATAD2_vs_HMBS__KIRC_Normal__spearman.pdf"
"ph1","chromatin_vs_heme","ATAD2","HMBS","KIRP_Normal",0.47,"0.0065","ok","./gepia_pdfs/gepia_pdfs_ph1/ph1__chromatin_vs_heme__ATAD2_vs_HMBS__KIRP_Normal__spearman.pdf"
"ph1","chromatin_vs_heme","ATAD2","HMBS","LIHC_Normal",0.34,"0.017","ok","./gepia_pdfs/gepia_pdfs_ph1/ph1__chromatin_vs_heme__ATAD2_vs_HMBS__LIHC_Normal__spearman.pdf"
"ph1","chromatin_vs_heme","ATAD2","HMBS","LUAD_Normal",-0.41,"0.0011","ok","./gepia_pdfs/gepia_pdfs_ph1/ph1__chromatin_vs_heme__ATAD2_vs_HMBS__LUAD_Normal__spearman.pdf"
"ph1","chromatin_vs_heme","ATAD2","HMBS","LUSC_Normal",0.039,"0.79","ok","./gepia_pdfs/gepia_pdfs_ph1/ph1__chromatin_vs_heme__ATAD2_vs_HMBS__LUSC_Normal__spearman.pdf"
"ph1","chromatin_vs_heme","ATAD2","HMBS","PAAD_Normal",-0.4,"0.75","ok","./gepia_pdfs/gepia_pdfs_ph1/ph1__chromatin_vs_heme__ATAD2_vs_HMBS__PAAD_Normal__spearman.pdf"
"ph1","chromatin_vs_heme","ATAD2","HMBS","PCPG_Normal",-0.5,"1","ok","./gepia_pdfs/gepia_pdfs_ph1/ph1__chromatin_vs_heme__ATAD2_vs_HMBS__PCPG_Normal__spearman.pdf"
"ph1","chromatin_vs_heme","ATAD2","HMBS","PRAD_Normal",0.3,"0.033","ok","./gepia_pdfs/gepia_pdfs_ph1/ph1__chromatin_vs_heme__ATAD2_vs_HMBS__PRAD_Normal__spearman.pdf"
"ph1","chromatin_vs_heme","ATAD2","HMBS","READ_Normal",0.22,"0.54","ok","./gepia_pdfs/gepia_pdfs_ph1/ph1__chromatin_vs_heme__ATAD2_vs_HMBS__READ_Normal__spearman.pdf"
"ph1","chromatin_vs_heme","ATAD2","HMBS","SARC_Normal",1,"1","ok","./gepia_pdfs/gepia_pdfs_ph1/ph1__chromatin_vs_heme__ATAD2_vs_HMBS__SARC_Normal__spearman.pdf"
"ph1","chromatin_vs_heme","ATAD2","HMBS","SKCM_Normal",NA,NA,"extraction_failed","./gepia_pdfs/gepia_pdfs_ph1/ph1__chromatin_vs_heme__ATAD2_vs_HMBS__SKCM_Normal__spearman.pdf"
"ph1","chromatin_vs_heme","ATAD2","HMBS","STAD_Normal",0.27,"0.12","ok","./gepia_pdfs/gepia_pdfs_ph1/ph1__chromatin_vs_heme__ATAD2_vs_HMBS__STAD_Normal__spearman.pdf"
"ph1","chromatin_vs_heme","ATAD2","HMBS","THCA_Normal",-0.52,"2.6e-05","ok","./gepia_pdfs/gepia_pdfs_ph1/ph1__chromatin_vs_heme__ATAD2_vs_HMBS__THCA_Normal__spearman.pdf"
"ph1","chromatin_vs_heme","ATAD2","HMBS","THYM_Normal",1,"1","ok","./gepia_pdfs/gepia_pdfs_ph1/ph1__chromatin_vs_heme__ATAD2_vs_HMBS__THYM_Normal__spearman.pdf"
