"phase","analysis","gene1","gene2","dataset","R","p_value","status","path"
"ph2","chromatin_vs_heme","ATAD2","ALAD","PRAD_Tumor",0.46,"2.5e-27","ok","./gepia_pdfs/gepia_pdfs_ph2/ph2__chromatin_vs_heme__ATAD2_vs_ALAD__PRAD_Tumor__spearman.pdf"
"ph2","chromatin_vs_heme","ATAD2","ALAD","READ_Tumor",0.062,"0.56","ok","./gepia_pdfs/gepia_pdfs_ph2/ph2__chromatin_vs_heme__ATAD2_vs_ALAD__READ_Tumor__spearman.pdf"
"ph2","chromatin_vs_heme","ATAD2","ALAD","SARC_Tumor",0.5,"5.8e-18","ok","./gepia_pdfs/gepia_pdfs_ph2/ph2__chromatin_vs_heme__ATAD2_vs_ALAD__SARC_Tumor__spearman.pdf"
"ph2","chromatin_vs_heme","ATAD2","ALAD","SKCM_Tumor",0.32,"1.2e-12","ok","./gepia_pdfs/gepia_pdfs_ph2/ph2__chromatin_vs_heme__ATAD2_vs_ALAD__SKCM_Tumor__spearman.pdf"
"ph2","chromatin_vs_heme","ATAD2","ALAD","STAD_Tumor",0.015,"0.76","ok","./gepia_pdfs/gepia_pdfs_ph2/ph2__chromatin_vs_heme__ATAD2_vs_ALAD__STAD_Tumor__spearman.pdf"
"ph2","chromatin_vs_heme","ATAD2","ALAD","TGCT_Tumor",0.65,"4.9e-18","ok","./gepia_pdfs/gepia_pdfs_ph2/ph2__chromatin_vs_heme__ATAD2_vs_ALAD__TGCT_Tumor__spearman.pdf"
"ph2","chromatin_vs_heme","ATAD2","ALAD","THCA_Tumor",0.42,"4.4e-23","ok","./gepia_pdfs/gepia_pdfs_ph2/ph2__chromatin_vs_heme__ATAD2_vs_ALAD__THCA_Tumor__spearman.pdf"
"ph2","chromatin_vs_heme","ATAD2","ALAD","THYM_Tumor",0.59,"1.3e-12","ok","./gepia_pdfs/gepia_pdfs_ph2/ph2__chromatin_vs_heme__ATAD2_vs_ALAD__THYM_Tumor__spearman.pdf"
"ph2","chromatin_vs_heme","ATAD2","ALAD","UCEC_Tumor",0.33,"9.4e-06","ok","./gepia_pdfs/gepia_pdfs_ph2/ph2__chromatin_vs_heme__ATAD2_vs_ALAD__UCEC_Tumor__spearman.pdf"
"ph2","chromatin_vs_heme","ATAD2","ALAD","UCS_Tumor",0.27,"0.04","ok","./gepia_pdfs/gepia_pdfs_ph2/ph2__chromatin_vs_heme__ATAD2_vs_ALAD__UCS_Tumor__spearman.pdf"
"ph2","chromatin_vs_heme","ATAD2","ALAD","UVM_Tumor",0.55,"1.5e-07","ok","./gepia_pdfs/gepia_pdfs_ph2/ph2__chromatin_vs_heme__ATAD2_vs_ALAD__UVM_Tumor__spearman.pdf"
"ph2","chromatin_vs_heme","ATAD2","ALAS1","ACC_Tumor",0.18,"0.12","ok","./gepia_pdfs/gepia_pdfs_ph2/ph2__chromatin_vs_heme__ATAD2_vs_ALAS1__ACC_Tumor__spearman.pdf"
"ph2","chromatin_vs_heme","ATAD2","ALAS1","BLCA_Tumor",-0.029,"0.57","ok","./gepia_pdfs/gepia_pdfs_ph2/ph2__chromatin_vs_heme__ATAD2_vs_ALAS1__BLCA_Tumor__spearman.pdf"
"ph2","chromatin_vs_heme","ATAD2","ALAS1","BRCA_Tumor",0.21,"3.2e-12","ok","./gepia_pdfs/gepia_pdfs_ph2/ph2__chromatin_vs_heme__ATAD2_vs_ALAS1__BRCA_Tumor__spearman.pdf"
"ph2","chromatin_vs_heme","ATAD2","ALAS1","CESC_Tumor",0.046,"0.42","ok","./gepia_pdfs/gepia_pdfs_ph2/ph2__chromatin_vs_heme__ATAD2_vs_ALAS1__CESC_Tumor__spearman.pdf"
"ph2","chromatin_vs_heme","ATAD2","ALAS1","CHOL_Tumor",0.11,"0.52","ok","./gepia_pdfs/gepia_pdfs_ph2/ph2__chromatin_vs_heme__ATAD2_vs_ALAS1__CHOL_Tumor__spearman.pdf"
"ph2","chromatin_vs_heme","ATAD2","ALAS1","COAD_Tumor",0.14,"0.024","ok","./gepia_pdfs/gepia_pdfs_ph2/ph2__chromatin_vs_heme__ATAD2_vs_ALAS1__COAD_Tumor__spearman.pdf"
"ph2","chromatin_vs_heme","ATAD2","ALAS1","DLBC_Tumor",0.17,"0.24","ok","./gepia_pdfs/gepia_pdfs_ph2/ph2__chromatin_vs_heme__ATAD2_vs_ALAS1__DLBC_Tumor__spearman.pdf"
"ph2","chromatin_vs_heme","ATAD2","ALAS1","ESCA_Tumor",0.035,"0.64","ok","./gepia_pdfs/gepia_pdfs_ph2/ph2__chromatin_vs_heme__ATAD2_vs_ALAS1__ESCA_Tumor__spearman.pdf"
"ph2","chromatin_vs_heme","ATAD2","ALAS1","GBM_Tumor",0.53,"3.2e-13","ok","./gepia_pdfs/gepia_pdfs_ph2/ph2__chromatin_vs_heme__ATAD2_vs_ALAS1__GBM_Tumor__spearman.pdf"
"ph2","chromatin_vs_heme","ATAD2","ALAS1","HNSC_Tumor",0.22,"7.2e-07","ok","./gepia_pdfs/gepia_pdfs_ph2/ph2__chromatin_vs_heme__ATAD2_vs_ALAS1__HNSC_Tumor__spearman.pdf"
