"phase","analysis","gene1","gene2","dataset","R","p_value","status","path"
"ph3","chromatin_vs_heme_BLCA_tumor","BRD2","FECH","BLCA_Tumor",0.5,"6.5e-27","ok","./gepia_pdfs/gepia_pdfs_ph3/ph3__chromatin_vs_heme_BLCA_tumor__BRD2_vs_FECH__BLCA_Tumor__spearman.pdf"
"ph3","chromatin_vs_heme_BLCA_tumor","BRD2","HMBS","BLCA_Tumor",0.085,"0.089","ok","./gepia_pdfs/gepia_pdfs_ph3/ph3__chromatin_vs_heme_BLCA_tumor__BRD2_vs_HMBS__BLCA_Tumor__spearman.pdf"
"ph3","chromatin_vs_heme_BLCA_tumor","BRD2","PPOX","BLCA_Tumor",0.017,"0.74","ok","./gepia_pdfs/gepia_pdfs_ph3/ph3__chromatin_vs_heme_BLCA_tumor__BRD2_vs_PPOX__BLCA_Tumor__spearman.pdf"
"ph3","chromatin_vs_heme_BLCA_tumor","BRD2","UROD","BLCA_Tumor",0.17,"0.00086","ok","./gepia_pdfs/gepia_pdfs_ph3/ph3__chromatin_vs_heme_BLCA_tumor__BRD2_vs_UROD__BLCA_Tumor__spearman.pdf"
"ph3","chromatin_vs_heme_BLCA_tumor","BRD2","UROS","BLCA_Tumor",-0.036,"0.47","ok","./gepia_pdfs/gepia_pdfs_ph3/ph3__chromatin_vs_heme_BLCA_tumor__BRD2_vs_UROS__BLCA_Tumor__spearman.pdf"
"ph3","chromatin_vs_heme_BLCA_tumor","BRD4","ALAD","BLCA_Tumor",0.38,"1.3e-15","ok","./gepia_pdfs/gepia_pdfs_ph3/ph3__chromatin_vs_heme_BLCA_tumor__BRD4_vs_ALAD__BLCA_Tumor__spearman.pdf"
"ph3","chromatin_vs_heme_BLCA_tumor","BRD4","ALAS1","BLCA_Tumor",0.005,"0.92","ok","./gepia_pdfs/gepia_pdfs_ph3/ph3__chromatin_vs_heme_BLCA_tumor__BRD4_vs_ALAS1__BLCA_Tumor__spearman.pdf"
"ph3","chromatin_vs_heme_BLCA_tumor","BRD4","CPOX","BLCA_Tumor",0.5,"2.1e-26","ok","./gepia_pdfs/gepia_pdfs_ph3/ph3__chromatin_vs_heme_BLCA_tumor__BRD4_vs_CPOX__BLCA_Tumor__spearman.pdf"
"ph3","chromatin_vs_heme_BLCA_tumor","BRD4","FECH","BLCA_Tumor",0.51,"3.1e-28","ok","./gepia_pdfs/gepia_pdfs_ph3/ph3__chromatin_vs_heme_BLCA_tumor__BRD4_vs_FECH__BLCA_Tumor__spearman.pdf"
"ph3","chromatin_vs_heme_BLCA_tumor","BRD4","HMBS","BLCA_Tumor",0.13,"0.01","ok","./gepia_pdfs/gepia_pdfs_ph3/ph3__chromatin_vs_heme_BLCA_tumor__BRD4_vs_HMBS__BLCA_Tumor__spearman.pdf"
"ph3","chromatin_vs_heme_BLCA_tumor","BRD4","PPOX","BLCA_Tumor",-0.11,"0.034","ok","./gepia_pdfs/gepia_pdfs_ph3/ph3__chromatin_vs_heme_BLCA_tumor__BRD4_vs_PPOX__BLCA_Tumor__spearman.pdf"
"ph3","chromatin_vs_heme_BLCA_tumor","BRD4","UROD","BLCA_Tumor",0.11,"0.023","ok","./gepia_pdfs/gepia_pdfs_ph3/ph3__chromatin_vs_heme_BLCA_tumor__BRD4_vs_UROD__BLCA_Tumor__spearman.pdf"
"ph3","chromatin_vs_heme_BLCA_tumor","BRD4","UROS","BLCA_Tumor",0.04,"0.42","ok","./gepia_pdfs/gepia_pdfs_ph3/ph3__chromatin_vs_heme_BLCA_tumor__BRD4_vs_UROS__BLCA_Tumor__spearman.pdf"
"ph3","chromatin_vs_heme_BLCA_tumor","H2AFZ","ALAD","BLCA_Tumor",0.11,"0.022","ok","./gepia_pdfs/gepia_pdfs_ph3/ph3__chromatin_vs_heme_BLCA_tumor__H2AFZ_vs_ALAD__BLCA_Tumor__spearman.pdf"
"ph3","chromatin_vs_heme_BLCA_tumor","H2AFZ","ALAS1","BLCA_Tumor",0.016,"0.75","ok","./gepia_pdfs/gepia_pdfs_ph3/ph3__chromatin_vs_heme_BLCA_tumor__H2AFZ_vs_ALAS1__BLCA_Tumor__spearman.pdf"
"ph3","chromatin_vs_heme_BLCA_tumor","H2AFZ","CPOX","BLCA_Tumor",0.4,"5.7e-17","ok","./gepia_pdfs/gepia_pdfs_ph3/ph3__chromatin_vs_heme_BLCA_tumor__H2AFZ_vs_CPOX__BLCA_Tumor__spearman.pdf"
"ph3","chromatin_vs_heme_BLCA_tumor","H2AFZ","FECH","BLCA_Tumor",0.36,"8.7e-14","ok","./gepia_pdfs/gepia_pdfs_ph3/ph3__chromatin_vs_heme_BLCA_tumor__H2AFZ_vs_FECH__BLCA_Tumor__spearman.pdf"
"ph3","chromatin_vs_heme_BLCA_tumor","H2AFZ","HMBS","BLCA_Tumor",0.47,"4e-23","ok","./gepia_pdfs/gepia_pdfs_ph3/ph3__chromatin_vs_heme_BLCA_tumor__H2AFZ_vs_HMBS__BLCA_Tumor__spearman.pdf"
"ph3","chromatin_vs_heme_BLCA_tumor","H2AFZ","PPOX","BLCA_Tumor",-0.073,"0.14","ok","./gepia_pdfs/gepia_pdfs_ph3/ph3__chromatin_vs_heme_BLCA_tumor__H2AFZ_vs_PPOX__BLCA_Tumor__spearman.pdf"
"ph3","chromatin_vs_heme_BLCA_tumor","H2AFZ","UROD","BLCA_Tumor",0.32,"4.8e-11","ok","./gepia_pdfs/gepia_pdfs_ph3/ph3__chromatin_vs_heme_BLCA_tumor__H2AFZ_vs_UROD__BLCA_Tumor__spearman.pdf"
"ph3","chromatin_vs_heme_BLCA_tumor","H2AFZ","UROS","BLCA_Tumor",0.19,"9.6e-05","ok","./gepia_pdfs/gepia_pdfs_ph3/ph3__chromatin_vs_heme_BLCA_tumor__H2AFZ_vs_UROS__BLCA_Tumor__spearman.pdf"
"ph3","chromatin_vs_heme_ESCA_tumor","ATAD2","ALAD","ESCA_Tumor",0.16,"0.031","ok","./gepia_pdfs/gepia_pdfs_ph3/ph3__chromatin_vs_heme_ESCA_tumor__ATAD2_vs_ALAD__ESCA_Tumor__spearman.pdf"
"ph3","chromatin_vs_heme_ESCA_tumor","ATAD2","ALAS1","ESCA_Tumor",0.035,"0.64","ok","./gepia_pdfs/gepia_pdfs_ph3/ph3__chromatin_vs_heme_ESCA_tumor__ATAD2_vs_ALAS1__ESCA_Tumor__spearman.pdf"
"ph3","chromatin_vs_heme_ESCA_tumor","ATAD2","CPOX","ESCA_Tumor",0.45,"1.2e-10","ok","./gepia_pdfs/gepia_pdfs_ph3/ph3__chromatin_vs_heme_ESCA_tumor__ATAD2_vs_CPOX__ESCA_Tumor__spearman.pdf"
"ph3","chromatin_vs_heme_ESCA_tumor","ATAD2","FECH","ESCA_Tumor",0.34,"2.4e-06","ok","./gepia_pdfs/gepia_pdfs_ph3/ph3__chromatin_vs_heme_ESCA_tumor__ATAD2_vs_FECH__ESCA_Tumor__spearman.pdf"
"ph3","chromatin_vs_heme_ESCA_tumor","ATAD2","HMBS","ESCA_Tumor",0.25,"0.00073","ok","./gepia_pdfs/gepia_pdfs_ph3/ph3__chromatin_vs_heme_ESCA_tumor__ATAD2_vs_HMBS__ESCA_Tumor__spearman.pdf"
"ph3","chromatin_vs_heme_ESCA_tumor","ATAD2","PPOX","ESCA_Tumor",0.025,"0.74","ok","./gepia_pdfs/gepia_pdfs_ph3/ph3__chromatin_vs_heme_ESCA_tumor__ATAD2_vs_PPOX__ESCA_Tumor__spearman.pdf"
"ph3","chromatin_vs_heme_ESCA_tumor","ATAD2","UROD","ESCA_Tumor",0.22,"0.003","ok","./gepia_pdfs/gepia_pdfs_ph3/ph3__chromatin_vs_heme_ESCA_tumor__ATAD2_vs_UROD__ESCA_Tumor__spearman.pdf"
"ph3","chromatin_vs_heme_ESCA_tumor","ATAD2","UROS","ESCA_Tumor",0.11,"0.12","ok","./gepia_pdfs/gepia_pdfs_ph3/ph3__chromatin_vs_heme_ESCA_tumor__ATAD2_vs_UROS__ESCA_Tumor__spearman.pdf"
"ph3","chromatin_vs_heme_ESCA_tumor","BRD2","ALAD","ESCA_Tumor",0.25,"0.00056","ok","./gepia_pdfs/gepia_pdfs_ph3/ph3__chromatin_vs_heme_ESCA_tumor__BRD2_vs_ALAD__ESCA_Tumor__spearman.pdf"
"ph3","chromatin_vs_heme_ESCA_tumor","BRD2","ALAS1","ESCA_Tumor",0.19,"0.0084","ok","./gepia_pdfs/gepia_pdfs_ph3/ph3__chromatin_vs_heme_ESCA_tumor__BRD2_vs_ALAS1__ESCA_Tumor__spearman.pdf"
"ph3","chromatin_vs_heme_ESCA_tumor","BRD2","CPOX","ESCA_Tumor",0.43,"2.1e-09","ok","./gepia_pdfs/gepia_pdfs_ph3/ph3__chromatin_vs_heme_ESCA_tumor__BRD2_vs_CPOX__ESCA_Tumor__spearman.pdf"
"ph3","chromatin_vs_heme_ESCA_tumor","BRD2","FECH","ESCA_Tumor",0.43,"1.9e-09","ok","./gepia_pdfs/gepia_pdfs_ph3/ph3__chromatin_vs_heme_ESCA_tumor__BRD2_vs_FECH__ESCA_Tumor__spearman.pdf"
"ph3","chromatin_vs_heme_ESCA_tumor","BRD2","HMBS","ESCA_Tumor",0.085,"0.26","ok","./gepia_pdfs/gepia_pdfs_ph3/ph3__chromatin_vs_heme_ESCA_tumor__BRD2_vs_HMBS__ESCA_Tumor__spearman.pdf"
"ph3","chromatin_vs_heme_ESCA_tumor","BRD2","PPOX","ESCA_Tumor",0.11,"0.13","ok","./gepia_pdfs/gepia_pdfs_ph3/ph3__chromatin_vs_heme_ESCA_tumor__BRD2_vs_PPOX__ESCA_Tumor__spearman.pdf"
"ph3","chromatin_vs_heme_ESCA_tumor","BRD2","UROD","ESCA_Tumor",0.2,"0.0068","ok","./gepia_pdfs/gepia_pdfs_ph3/ph3__chromatin_vs_heme_ESCA_tumor__BRD2_vs_UROD__ESCA_Tumor__spearman.pdf"
"ph3","chromatin_vs_heme_ESCA_tumor","BRD2","UROS","ESCA_Tumor",0.12,"0.094","ok","./gepia_pdfs/gepia_pdfs_ph3/ph3__chromatin_vs_heme_ESCA_tumor__BRD2_vs_UROS__ESCA_Tumor__spearman.pdf"
"ph3","chromatin_vs_heme_ESCA_tumor","BRD4","ALAD","ESCA_Tumor",0.16,"0.031","ok","./gepia_pdfs/gepia_pdfs_ph3/ph3__chromatin_vs_heme_ESCA_tumor__BRD4_vs_ALAD__ESCA_Tumor__spearman.pdf"
"ph3","chromatin_vs_heme_ESCA_tumor","BRD4","ALAS1","ESCA_Tumor",0.022,"0.77","ok","./gepia_pdfs/gepia_pdfs_ph3/ph3__chromatin_vs_heme_ESCA_tumor__BRD4_vs_ALAS1__ESCA_Tumor__spearman.pdf"
"ph3","chromatin_vs_heme_ESCA_tumor","BRD4","CPOX","ESCA_Tumor",0.5,"4.3e-13","ok","./gepia_pdfs/gepia_pdfs_ph3/ph3__chromatin_vs_heme_ESCA_tumor__BRD4_vs_CPOX__ESCA_Tumor__spearman.pdf"
"ph3","chromatin_vs_heme_ESCA_tumor","BRD4","FECH","ESCA_Tumor",0.48,"9.6e-12","ok","./gepia_pdfs/gepia_pdfs_ph3/ph3__chromatin_vs_heme_ESCA_tumor__BRD4_vs_FECH__ESCA_Tumor__spearman.pdf"
"ph3","chromatin_vs_heme_ESCA_tumor","BRD4","HMBS","ESCA_Tumor",0.017,"0.82","ok","./gepia_pdfs/gepia_pdfs_ph3/ph3__chromatin_vs_heme_ESCA_tumor__BRD4_vs_HMBS__ESCA_Tumor__spearman.pdf"
"ph3","chromatin_vs_heme_ESCA_tumor","BRD4","PPOX","ESCA_Tumor",0.0087,"0.91","ok","./gepia_pdfs/gepia_pdfs_ph3/ph3__chromatin_vs_heme_ESCA_tumor__BRD4_vs_PPOX__ESCA_Tumor__spearman.pdf"
"ph3","chromatin_vs_heme_ESCA_tumor","BRD4","UROD","ESCA_Tumor",0.16,"0.035","ok","./gepia_pdfs/gepia_pdfs_ph3/ph3__chromatin_vs_heme_ESCA_tumor__BRD4_vs_UROD__ESCA_Tumor__spearman.pdf"
"ph3","chromatin_vs_heme_ESCA_tumor","BRD4","UROS","ESCA_Tumor",0.056,"0.46","ok","./gepia_pdfs/gepia_pdfs_ph3/ph3__chromatin_vs_heme_ESCA_tumor__BRD4_vs_UROS__ESCA_Tumor__spearman.pdf"
"ph3","chromatin_vs_heme_ESCA_tumor","H2AFZ","ALAD","ESCA_Tumor",-0.019,"0.8","ok","./gepia_pdfs/gepia_pdfs_ph3/ph3__chromatin_vs_heme_ESCA_tumor__H2AFZ_vs_ALAD__ESCA_Tumor__spearman.pdf"
"ph3","chromatin_vs_heme_ESCA_tumor","H2AFZ","ALAS1","ESCA_Tumor",0.07,"0.35","ok","./gepia_pdfs/gepia_pdfs_ph3/ph3__chromatin_vs_heme_ESCA_tumor__H2AFZ_vs_ALAS1__ESCA_Tumor__spearman.pdf"
"ph3","chromatin_vs_heme_ESCA_tumor","H2AFZ","CPOX","ESCA_Tumor",0.37,"4e-07","ok","./gepia_pdfs/gepia_pdfs_ph3/ph3__chromatin_vs_heme_ESCA_tumor__H2AFZ_vs_CPOX__ESCA_Tumor__spearman.pdf"
"ph3","chromatin_vs_heme_ESCA_tumor","H2AFZ","FECH","ESCA_Tumor",0.36,"4.8e-07","ok","./gepia_pdfs/gepia_pdfs_ph3/ph3__chromatin_vs_heme_ESCA_tumor__H2AFZ_vs_FECH__ESCA_Tumor__spearman.pdf"
"ph3","chromatin_vs_heme_ESCA_tumor","H2AFZ","HMBS","ESCA_Tumor",0.38,"1.3e-07","ok","./gepia_pdfs/gepia_pdfs_ph3/ph3__chromatin_vs_heme_ESCA_tumor__H2AFZ_vs_HMBS__ESCA_Tumor__spearman.pdf"
"ph3","chromatin_vs_heme_ESCA_tumor","H2AFZ","PPOX","ESCA_Tumor",0.14,"0.055","ok","./gepia_pdfs/gepia_pdfs_ph3/ph3__chromatin_vs_heme_ESCA_tumor__H2AFZ_vs_PPOX__ESCA_Tumor__spearman.pdf"
"ph3","chromatin_vs_heme_ESCA_tumor","H2AFZ","UROD","ESCA_Tumor",0.38,"1.1e-07","ok","./gepia_pdfs/gepia_pdfs_ph3/ph3__chromatin_vs_heme_ESCA_tumor__H2AFZ_vs_UROD__ESCA_Tumor__spearman.pdf"
"ph3","chromatin_vs_heme_ESCA_tumor","H2AFZ","UROS","ESCA_Tumor",0.23,"0.0017","ok","./gepia_pdfs/gepia_pdfs_ph3/ph3__chromatin_vs_heme_ESCA_tumor__H2AFZ_vs_UROS__ESCA_Tumor__spearman.pdf"
"ph3","chromatin_vs_heme_GBM_tumor","ATAD2","ALAD","GBM_Tumor",0.26,"0.00069","ok","./gepia_pdfs/gepia_pdfs_ph3/ph3__chromatin_vs_heme_GBM_tumor__ATAD2_vs_ALAD__GBM_Tumor__spearman.pdf"
"ph3","chromatin_vs_heme_GBM_tumor","ATAD2","ALAS1","GBM_Tumor",0.53,"3.2e-13","ok","./gepia_pdfs/gepia_pdfs_ph3/ph3__chromatin_vs_heme_GBM_tumor__ATAD2_vs_ALAS1__GBM_Tumor__spearman.pdf"
"ph3","chromatin_vs_heme_GBM_tumor","ATAD2","CPOX","GBM_Tumor",0.35,"4.2e-06","ok","./gepia_pdfs/gepia_pdfs_ph3/ph3__chromatin_vs_heme_GBM_tumor__ATAD2_vs_CPOX__GBM_Tumor__spearman.pdf"
"ph3","chromatin_vs_heme_GBM_tumor","ATAD2","FECH","GBM_Tumor",0.3,"8.9e-05●","ok","./gepia_pdfs/gepia_pdfs_ph3/ph3__chromatin_vs_heme_GBM_tumor__ATAD2_vs_FECH__GBM_Tumor__spearman.pdf"
"ph3","chromatin_vs_heme_GBM_tumor","ATAD2","HMBS","GBM_Tumor",0.34,"1.2e-05","ok","./gepia_pdfs/gepia_pdfs_ph3/ph3__chromatin_vs_heme_GBM_tumor__ATAD2_vs_HMBS__GBM_Tumor__spearman.pdf"
"ph3","chromatin_vs_heme_GBM_tumor","ATAD2","PPOX","GBM_Tumor",0.23,"0.0037","ok","./gepia_pdfs/gepia_pdfs_ph3/ph3__chromatin_vs_heme_GBM_tumor__ATAD2_vs_PPOX__GBM_Tumor__spearman.pdf"
"ph3","chromatin_vs_heme_GBM_tumor","ATAD2","UROD","GBM_Tumor",-0.13,"0.098","ok","./gepia_pdfs/gepia_pdfs_ph3/ph3__chromatin_vs_heme_GBM_tumor__ATAD2_vs_UROD__GBM_Tumor__spearman.pdf"
"ph3","chromatin_vs_heme_GBM_tumor","ATAD2","UROS","GBM_Tumor",0.025,"0.75","ok","./gepia_pdfs/gepia_pdfs_ph3/ph3__chromatin_vs_heme_GBM_tumor__ATAD2_vs_UROS__GBM_Tumor__spearman.pdf"
"ph3","chromatin_vs_heme_GBM_tumor","BRD2","ALAD","GBM_Tumor",0.4,"1.5e-07","ok","./gepia_pdfs/gepia_pdfs_ph3/ph3__chromatin_vs_heme_GBM_tumor__BRD2_vs_ALAD__GBM_Tumor__spearman.pdf"
"ph3","chromatin_vs_heme_GBM_tumor","BRD2","ALAS1","GBM_Tumor",0.51,"5.1e-12","ok","./gepia_pdfs/gepia_pdfs_ph3/ph3__chromatin_vs_heme_GBM_tumor__BRD2_vs_ALAS1__GBM_Tumor__spearman.pdf"
"ph3","chromatin_vs_heme_GBM_tumor","BRD2","CPOX","GBM_Tumor",0.46,"1e-09","ok","./gepia_pdfs/gepia_pdfs_ph3/ph3__chromatin_vs_heme_GBM_tumor__BRD2_vs_CPOX__GBM_Tumor__spearman.pdf"
"ph3","chromatin_vs_heme_GBM_tumor","BRD2","FECH","GBM_Tumor",0.4,"8.9e-08","ok","./gepia_pdfs/gepia_pdfs_ph3/ph3__chromatin_vs_heme_GBM_tumor__BRD2_vs_FECH__GBM_Tumor__spearman.pdf"
"ph3","chromatin_vs_heme_GBM_tumor","BRD2","HMBS","GBM_Tumor",0.16,"0.046","ok","./gepia_pdfs/gepia_pdfs_ph3/ph3__chromatin_vs_heme_GBM_tumor__BRD2_vs_HMBS__GBM_Tumor__spearman.pdf"
"ph3","chromatin_vs_heme_GBM_tumor","BRD2","PPOX","GBM_Tumor",0.28,"0.00027","ok","./gepia_pdfs/gepia_pdfs_ph3/ph3__chromatin_vs_heme_GBM_tumor__BRD2_vs_PPOX__GBM_Tumor__spearman.pdf"
"ph3","chromatin_vs_heme_GBM_tumor","BRD2","UROD","GBM_Tumor",-0.23,"0.0035","ok","./gepia_pdfs/gepia_pdfs_ph3/ph3__chromatin_vs_heme_GBM_tumor__BRD2_vs_UROD__GBM_Tumor__spearman.pdf"
"ph3","chromatin_vs_heme_GBM_tumor","BRD2","UROS","GBM_Tumor",-0.15,"0.051","ok","./gepia_pdfs/gepia_pdfs_ph3/ph3__chromatin_vs_heme_GBM_tumor__BRD2_vs_UROS__GBM_Tumor__spearman.pdf"
"ph3","chromatin_vs_heme_GBM_tumor","BRD4","ALAD","GBM_Tumor",0.4,"9.5e-08","ok","./gepia_pdfs/gepia_pdfs_ph3/ph3__chromatin_vs_heme_GBM_tumor__BRD4_vs_ALAD__GBM_Tumor__spearman.pdf"
"ph3","chromatin_vs_heme_GBM_tumor","BRD4","ALAS1","GBM_Tumor",0.37,"9.7e-07","ok","./gepia_pdfs/gepia_pdfs_ph3/ph3__chromatin_vs_heme_GBM_tumor__BRD4_vs_ALAS1__GBM_Tumor__spearman.pdf"
"ph3","chromatin_vs_heme_GBM_tumor","BRD4","CPOX","GBM_Tumor",0.42,"2.6e-08","ok","./gepia_pdfs/gepia_pdfs_ph3/ph3__chromatin_vs_heme_GBM_tumor__BRD4_vs_CPOX__GBM_Tumor__spearman.pdf"
"ph3","chromatin_vs_heme_GBM_tumor","BRD4","FECH","GBM_Tumor",0.37,"8.9e-07","ok","./gepia_pdfs/gepia_pdfs_ph3/ph3__chromatin_vs_heme_GBM_tumor__BRD4_vs_FECH__GBM_Tumor__spearman.pdf"
"ph3","chromatin_vs_heme_GBM_tumor","BRD4","HMBS","GBM_Tumor",0.065,"0.41","ok","./gepia_pdfs/gepia_pdfs_ph3/ph3__chromatin_vs_heme_GBM_tumor__BRD4_vs_HMBS__GBM_Tumor__spearman.pdf"
"ph3","chromatin_vs_heme_GBM_tumor","BRD4","PPOX","GBM_Tumor",0.092,"0.24","ok","./gepia_pdfs/gepia_pdfs_ph3/ph3__chromatin_vs_heme_GBM_tumor__BRD4_vs_PPOX__GBM_Tumor__spearman.pdf"
"ph3","chromatin_vs_heme_GBM_tumor","BRD4","UROD","GBM_Tumor",-0.3,"0.00011","ok","./gepia_pdfs/gepia_pdfs_ph3/ph3__chromatin_vs_heme_GBM_tumor__BRD4_vs_UROD__GBM_Tumor__spearman.pdf"
"ph3","chromatin_vs_heme_GBM_tumor","BRD4","UROS","GBM_Tumor",-0.22,"0.0043","ok","./gepia_pdfs/gepia_pdfs_ph3/ph3__chromatin_vs_heme_GBM_tumor__BRD4_vs_UROS__GBM_Tumor__spearman.pdf"
"ph3","chromatin_vs_heme_GBM_tumor","H2AFZ","ALAD","GBM_Tumor",-0.16,"0.046","ok","./gepia_pdfs/gepia_pdfs_ph3/ph3__chromatin_vs_heme_GBM_tumor__H2AFZ_vs_ALAD__GBM_Tumor__spearman.pdf"
"ph3","chromatin_vs_heme_GBM_tumor","H2AFZ","ALAS1","GBM_Tumor",0.17,"0.028","ok","./gepia_pdfs/gepia_pdfs_ph3/ph3__chromatin_vs_heme_GBM_tumor__H2AFZ_vs_ALAS1__GBM_Tumor__spearman.pdf"
"ph3","chromatin_vs_heme_GBM_tumor","H2AFZ","CPOX","GBM_Tumor",-0.025,"0.75","ok","./gepia_pdfs/gepia_pdfs_ph3/ph3__chromatin_vs_heme_GBM_tumor__H2AFZ_vs_CPOX__GBM_Tumor__spearman.pdf"
"ph3","chromatin_vs_heme_GBM_tumor","H2AFZ","FECH","GBM_Tumor",-0.094,"0.23","ok","./gepia_pdfs/gepia_pdfs_ph3/ph3__chromatin_vs_heme_GBM_tumor__H2AFZ_vs_FECH__GBM_Tumor__spearman.pdf"
"ph3","chromatin_vs_heme_GBM_tumor","H2AFZ","HMBS","GBM_Tumor",0.43,"8.8e-09","ok","./gepia_pdfs/gepia_pdfs_ph3/ph3__chromatin_vs_heme_GBM_tumor__H2AFZ_vs_HMBS__GBM_Tumor__spearman.pdf"
"ph3","chromatin_vs_heme_GBM_tumor","H2AFZ","PPOX","GBM_Tumor",0.13,"0.089","ok","./gepia_pdfs/gepia_pdfs_ph3/ph3__chromatin_vs_heme_GBM_tumor__H2AFZ_vs_PPOX__GBM_Tumor__spearman.pdf"
"ph3","chromatin_vs_heme_GBM_tumor","H2AFZ","UROD","GBM_Tumor",0.078,"0.32","ok","./gepia_pdfs/gepia_pdfs_ph3/ph3__chromatin_vs_heme_GBM_tumor__H2AFZ_vs_UROD__GBM_Tumor__spearman.pdf"
"ph3","chromatin_vs_heme_GBM_tumor","H2AFZ","UROS","GBM_Tumor",0.27,"0.00045","ok","./gepia_pdfs/gepia_pdfs_ph3/ph3__chromatin_vs_heme_GBM_tumor__H2AFZ_vs_UROS__GBM_Tumor__spearman.pdf"
"ph3","chromatin_vs_heme_HNSC_tumor","ATAD2","ALAD","HNSC_Tumor",0.4,"3.4e-21","ok","./gepia_pdfs/gepia_pdfs_ph3/ph3__chromatin_vs_heme_HNSC_tumor__ATAD2_vs_ALAD__HNSC_Tumor__spearman.pdf"
"ph3","chromatin_vs_heme_HNSC_tumor","ATAD2","ALAS1","HNSC_Tumor",0.22,"7.2e-07","ok","./gepia_pdfs/gepia_pdfs_ph3/ph3__chromatin_vs_heme_HNSC_tumor__ATAD2_vs_ALAS1__HNSC_Tumor__spearman.pdf"
"ph3","chromatin_vs_heme_HNSC_tumor","ATAD2","CPOX","HNSC_Tumor",0.49,"4.4e-32","ok","./gepia_pdfs/gepia_pdfs_ph3/ph3__chromatin_vs_heme_HNSC_tumor__ATAD2_vs_CPOX__HNSC_Tumor__spearman.pdf"
"ph3","chromatin_vs_heme_HNSC_tumor","ATAD2","FECH","HNSC_Tumor",0.46,"5.9e-29","ok","./gepia_pdfs/gepia_pdfs_ph3/ph3__chromatin_vs_heme_HNSC_tumor__ATAD2_vs_FECH__HNSC_Tumor__spearman.pdf"
"ph3","chromatin_vs_heme_HNSC_tumor","ATAD2","HMBS","HNSC_Tumor",0.093,"0.035","ok","./gepia_pdfs/gepia_pdfs_ph3/ph3__chromatin_vs_heme_HNSC_tumor__ATAD2_vs_HMBS__HNSC_Tumor__spearman.pdf"
