"phase","analysis","gene1","gene2","dataset","R","p_value","status","path"
"ph3","chromatin_vs_heme_BLCA_tumor","ATAD2","ALAD","BLCA_Tumor",0.31,"3.4e-10","ok","./gepia_pdfs/gepia_pdfs_ph3/ph3__chromatin_vs_heme_BLCA_tumor__ATAD2_vs_ALAD__BLCA_Tumor__spearman.pdf"
"ph3","chromatin_vs_heme_BLCA_tumor","ATAD2","ALAS1","BLCA_Tumor",-0.029,"0.57","ok","./gepia_pdfs/gepia_pdfs_ph3/ph3__chromatin_vs_heme_BLCA_tumor__ATAD2_vs_ALAS1__BLCA_Tumor__spearman.pdf"
"ph3","chromatin_vs_heme_BLCA_tumor","ATAD2","CPOX","BLCA_Tumor",0.5,"2.9e-27","ok","./gepia_pdfs/gepia_pdfs_ph3/ph3__chromatin_vs_heme_BLCA_tumor__ATAD2_vs_CPOX__BLCA_Tumor__spearman.pdf"
"ph3","chromatin_vs_heme_BLCA_tumor","ATAD2","FECH","BLCA_Tumor",0.54,"1.9e-31","ok","./gepia_pdfs/gepia_pdfs_ph3/ph3__chromatin_vs_heme_BLCA_tumor__ATAD2_vs_FECH__BLCA_Tumor__spearman.pdf"
"ph3","chromatin_vs_heme_BLCA_tumor","ATAD2","HMBS","BLCA_Tumor",0.37,"1.8e-14","ok","./gepia_pdfs/gepia_pdfs_ph3/ph3__chromatin_vs_heme_BLCA_tumor__ATAD2_vs_HMBS__BLCA_Tumor__spearman.pdf"
"ph3","chromatin_vs_heme_BLCA_tumor","ATAD2","PPOX","BLCA_Tumor",-0.13,"0.0088","ok","./gepia_pdfs/gepia_pdfs_ph3/ph3__chromatin_vs_heme_BLCA_tumor__ATAD2_vs_PPOX__BLCA_Tumor__spearman.pdf"
"ph3","chromatin_vs_heme_BLCA_tumor","ATAD2","UROD","BLCA_Tumor",0.14,"0.0061","ok","./gepia_pdfs/gepia_pdfs_ph3/ph3__chromatin_vs_heme_BLCA_tumor__ATAD2_vs_UROD__BLCA_Tumor__spearman.pdf"
"ph3","chromatin_vs_heme_BLCA_tumor","ATAD2","UROS","BLCA_Tumor",0.12,"0.018","ok","./gepia_pdfs/gepia_pdfs_ph3/ph3__chromatin_vs_heme_BLCA_tumor__ATAD2_vs_UROS__BLCA_Tumor__spearman.pdf"
"ph3","chromatin_vs_heme_BLCA_tumor","BRD2","ALAD","BLCA_Tumor",0.32,"2.4e-11","ok","./gepia_pdfs/gepia_pdfs_ph3/ph3__chromatin_vs_heme_BLCA_tumor__BRD2_vs_ALAD__BLCA_Tumor__spearman.pdf"
"ph3","chromatin_vs_heme_BLCA_tumor","BRD2","ALAS1","BLCA_Tumor",0.088,"0.077","ok","./gepia_pdfs/gepia_pdfs_ph3/ph3__chromatin_vs_heme_BLCA_tumor__BRD2_vs_ALAS1__BLCA_Tumor__spearman.pdf"
"ph3","chromatin_vs_heme_BLCA_tumor","BRD2","CPOX","BLCA_Tumor",0.45,"9.2e-22","ok","./gepia_pdfs/gepia_pdfs_ph3/ph3__chromatin_vs_heme_BLCA_tumor__BRD2_vs_CPOX__BLCA_Tumor__spearman.pdf"
